skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	item proc text	item proc descline count	*eol
attack	0	0	0	0	2		skillname0	skillsd0	skillld0	skillan0	1												2				5	StrSkill281		stat('energy'.base)		5	StrSkill280		stat('vitality'.base)		5	StrSkill279		stat('dexterity'.base)		5	StrSkill278		stat('strength'.base)		5	StrSkill295		stat('death_counter'.base)		5	StrSkill294		stat('kill_counter'.base)																																																																0
kick	0	0	0	-1	0		skillname1	skillsd1	skillld1	skillan1	2																																																																																																												0
throw	0	0	0	0	6		skillname2	skillsd2	skillld2	skillan2	3												3				5	StrSkill281		stat('energy'.base)		5	StrSkill280		stat('vitality'.base)		5	StrSkill279		stat('dexterity'.base)		5	StrSkill278		stat('strength'.base)		5	StrSkill295		stat('death_counter'.base)		5	StrSkill294		stat('kill_counter'.base)																																																																0
unsummon	0	0	0	0	4		skillname3	skillsd3	skillld3	skillan3																	5	StrSkill281		stat('energy'.base)		5	StrSkill280		stat('vitality'.base)		5	StrSkill279		stat('dexterity'.base)		5	StrSkill278		stat('strength'.base)		5	StrSkill295		stat('death_counter'.base)		5	StrSkill294		stat('kill_counter'.base)																																																																0
left hand throw	0	0	0	0	12		skillname4	skillsd4	skillld4	skillan4	4												4																																																																																																0
left hand swing	0	0	0	-1	10		skillname5	skillsd5	skillld5	skillan5																																																																																																													0
magic arrow	1	1	2	1	0		skillname6	skillsd6	skillld6	skillan6	5												1				1	StrSkill3				75	StrSkill39		edmn	edmx	18	StrSkill150				66	Convphy2elemalt		1+(lvl-1)*1																																40	Sksyn	skillname6	2		76	Magdplev	skillname11	par8		76	Magdplev	skillname27	par8		76	Magdplev	skillname31	par8		76	Magdplev	skillname16	par8		76	Magdplev	skillname21	par8		76	Magdplev	skillname7	par8									0
fire arrow	1	3	3	1	2	1	skillname7	skillsd7	skillld7	skillan7	5												1				1	StrSkill3				36	StrSkill63		edln	25	75	StrSkill8		edns*edln/256	edxs*edln/256																																				40	Sksyn	skillname7	2		76	Poisdplev	skillname6	par8		76	Poisdplev	skillname11	par8		76	Poisdplev	skillname31	par8																								0
inner sight	2	2	1	2	4	0	skillname8	skillsd8	skillld8	skillan8																	36	StrSkill20		len	25	74	StrSkill151	StrSkill23	ast2		74	StrSkill21	StrSkill23	ast1																	1	StrSkill3				36	StrSkill18		rng*2	3											40	Sksyn	skillname8	2		76	Defplev	skillname23	-par8		76	Defplev	skillname17	-par8		76	PhysResplev	skillname9	-2		76	PhysResplev	skillname17	-2												1							0
critical strike	2	1	3	2	6		skillname9	skillsd9	skillld9	skillan9																	2	StrSkill285	StrSkill23	pst1																											18	StrSkill179																																																						18	StrSkill179						0
