index	*ID	version	enabled	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
The Gnasher	0	0	1			0	1	7	3	p01	Hand Axe		5	5000	dyel							sock		2	2	tinkerflag2		25	35	str		8	8	openwounds		50	50	crush		20	20	dmg%		60	70																										0
Deathspade	1	0	1			0	1	12	6	p02	Axe		5	5000	dgld							sock		2	2	tinkerflag2		25	35	stupidity		1	1	dmg-min		8	8	att%		15	15	mana-kill		4	4	dmg%		60	70																						0
Bladebone	2	0	1			0	1	20	10	p03	Double Axe		5	5000	lgry	lgry						sock		2	2	tinkerflag2		25	35	dmg-undead		100	100	att-undead		40	40	swing2		20	20	ac		20	20	fire-min		8	8	fire-max		12	12	dmg%		30	50														0
Mindrend	3	0	1			0	1	28	14	p04	Military Pick		5	5000	lgrn							sock		2	2	tinkerflag2		25	35	stupidity		2	2	regen-mana		20	20	ltng-min		1	1	ltng-max		12	15	att		50	100	dmg%		60	100	openwounds		15	15														0
Rakescar	4	0	1			0	1	36	18	p05	War Axe		5	5000	dgry	dgry						sock		2	2	tinkerflag2		25	35	pois-min		128	128	pois-max		128	128	pois-len		75	75	att		50	50	res-pois		50	50	dmg%		75	150	swing2		30	30														0
Fechmars Axe	5	0	1			0	1	11	5	p06	Large Axe		5	5000	lpur	lpur						sock		2	2	tinkerflag2		25	35	dmg%		70	90	freeze		3	3	res-cold		50	50	light		2	2																										0
Goreshovel	6	0	1			0	1	19	9	p07	Broad Axe		5	5000	dpur	dpur						sock		2	2	tinkerflag2		25	35	swing3		30	30	str		25	25	openwounds		60	60	dmg%		40	50	dmg-max		9	9																						0
The Chieftan	7	0	1			0	1	26	13	p08	Battle Axe		5	5000	oran							sock		2	2	tinkerflag2		25	35	dmg%		100	100	res-all		10	20	mana-kill		6	6	swing2		20	20	dmg-ltng		1	40																						0
Brainhew	8	0	1			0	1	34	17	p09	Great Axe		5	5000	whit							sock		2	2	tinkerflag2		25	35	dmg-min		14	14	mana		25	25	light		4	4	manasteal		10	13	dmg%		50	80	dmg-fire		15	35																		0
The Humongous	9	0	1			0	1	39	20	p10	Giant Axe		5	5000	blac	blac						sock		2	2	tinkerflag2		25	35	str		20	30	dmg-min		8	8	dmg-max		15	25	crush		33	33	ease		20	20	dmg%		80	120																		0
Iros Torch	10	0	1			0	1	7	3	p11	Wand		5	5000	cred							sock		2	2	tinkerflag2		25	35	nec		1	1	lifesteal		6	6	dmg-fire		5	9	light		3	3	enr		10	10	regen-mana		5	5																		0
Maelstromwrath	11	0	1			0	1	19	9	p12	Yew Wand		5	5000	dblu	dblu						sock		2	2	tinkerflag2		25	35	ltng-min		1	1	ltng-max		9	9	res-ltng		40	40	mana		13	13	cast2		30	30	skill	Iron Maiden	1	3	skill	Amplify Damage	1	3	skill	Terror	1	3	skill	Corpse Explosion	1	3						0
